task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
26	a2/15c714	1921792	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (NA12815_F)	COMPLETED	0	2026-09-05 10:28:25.017	1m 16s	1m 16s	100.7%	218.5 MB	221.8 MB	11.7 GB	1.7 KB
27	66/752753	1924781	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (NA12751_F)	COMPLETED	0	2026-09-05 10:29:22.460	1m 14s	1m 13s	100.4%	11.5 MB	15.1 MB	11.1 GB	137.5 MB
28	9d/7aa0c8	1926246	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (NA12815_F)	COMPLETED	0	2026-09-05 10:29:42.397	1m 14s	1m 14s	100.3%	11.6 MB	15.1 MB	11.7 GB	145.3 MB
18	3a/2554e2	1919096	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (NA12814_M)	COMPLETED	0	2026-09-05 10:28:05.096	2m 58s	2m 57s	213.3%	90.7 MB	675 MB	15.1 GB	9 GB
19	3d/768246	1920475	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (NA12775_M)	COMPLETED	0	2026-09-05 10:28:13.684	3m 15s	3m 15s	214.4%	93.9 MB	741.1 MB	16.3 GB	9.7 GB
9	65/1f451b	1930034	NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/GRCh38.primary_assembly.genome.fa)	COMPLETED	0	2026-09-05 10:31:02.651	37.6s	36.7s	100.1%	3.3 GB	3.5 GB	7.7 GB	4.6 GB
33	eb/b9072e	1932550	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (NA12815_F)	COMPLETED	0	2026-09-05 10:31:40.279	32.5s	32.1s	170.1%	18.1 GB	21.4 GB	17.1 GB	2.1 MB
32	f6/9f13af	1935651	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (NA12751_F)	COMPLETED	0	2026-09-05 10:32:12.821	33.7s	33.3s	168.3%	18.1 GB	21.5 GB	17.1 GB	2.1 MB
29	1e/10c14b	1932526	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (NA12814_M)	COMPLETED	0	2026-09-05 10:31:40.269	1m 31s	1m 30s	100.2%	218.7 MB	222 MB	13.5 GB	1.7 KB
31	bb/a99b2b	1937775	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (NA11832_F)	COMPLETED	0	2026-09-05 10:32:46.482	30.6s	30.3s	182.4%	18.1 GB	21.5 GB	17.1 GB	2.1 MB
30	91/70bb78	1932534	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (NA12775_M)	COMPLETED	0	2026-09-05 10:31:40.274	1m 40s	1m 39s	100.2%	218.7 MB	222 MB	14.5 GB	1.7 KB
36	f1/e9ea14	1939432	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (NA12814_M)	COMPLETED	0	2026-09-05 10:33:12.079	1m 25s	1m 24s	99.9%	12.5 MB	16 MB	13.5 GB	138.1 MB
38	fe/587ec3	1940634	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (NA12775_M)	COMPLETED	0	2026-09-05 10:33:21.081	1m 29s	1m 28s	99.8%	12.8 MB	16.4 MB	14.5 GB	138.7 MB
22	d1/c67ade	1931594	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (NA12399_M)	COMPLETED	0	2026-09-05 10:31:29.116	4m 56s	4m 56s	207.9%	94.7 MB	672.9 MB	24.6 GB	14.6 GB
34	cf/403614	1940312	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (NA12815_F)	COMPLETED	0	2026-09-05 10:33:20.072	10m 1s	10m	526.5%	37.7 GB	39.1 GB	79.3 GB	53.5 GB
35	a5/c30c04	1978213	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (NA12751_F)	COMPLETED	0	2026-09-05 10:36:25.027	10m 53s	10m 53s	470.1%	37.7 GB	39.2 GB	78.5 GB	53.8 GB
39	fb/22b745	2028352	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (NA12814_M)	COMPLETED	0	2026-09-05 10:47:18.369	32.3s	31.9s	163.7%	18.1 GB	21.5 GB	17.1 GB	2.1 MB
40	f7/bfdf24	2030897	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (NA12775_M)	COMPLETED	0	2026-09-05 10:47:50.678	28.8s	28.4s	180.6%	18.1 GB	21.5 GB	17.1 GB	2.1 MB
